,Test Y,Model Predictions
1287,0,1.8234706
1288,2,1.20097
1289,0,1.07069
1290,0,1.00926
1291,1,1.4632761
1292,1,1.8302573
1293,1,1.302635
1294,0,0.9830588
1295,1,1.6327552
1296,0,1.5761485
1297,2,2.2890809
1298,0,1.1837785
1299,1,1.3194361
1300,0,1.342519
1301,2,1.4262385
1302,0,1.0394722
1303,0,1.2655771
1304,0,1.399911
1305,1,1.3959482
1306,3,1.431426
1307,0,1.0056887
1308,0,1.1466329
1309,0,1.952801
1310,0,1.546037
1311,0,1.3541288
1312,0,1.2582071
1313,1,1.985178
1314,0,1.8591692
1315,0,2.0123887
1316,0,4.5675073
1317,0,1.4110895
1318,1,1.8163686
1319,0,0.92043465
1320,0,1.1016543
1321,0,1.0382862
1322,2,3.2319446
1323,2,3.0920558
1324,0,1.1291173
1325,3,2.417027
1326,0,1.3368276
1327,1,0.93866384
1328,1,0.9465506
1329,1,3.2831614
1330,0,1.1453434
1331,2,3.59156
1332,0,1.3970972
1333,0,0.93924654
1334,0,3.31535
1335,1,1.3150525
1336,0,0.7296098
1337,1,1.3235219
1338,2,1.6461858
1339,0,1.1845255
1340,3,2.1713486
1341,3,2.6827087
1342,0,1.3983877
1343,2,3.615696
1344,0,1.1617267
1345,2,1.1898342
1346,1,1.2943814
1347,1,2.1071057
1348,2,3.3119483
1349,1,1.154018
1350,5,6.354722
1351,1,0.9593424
1352,2,1.240246
1353,0,1.0925859
1354,1,4.1024547
1355,3,5.666923
1356,0,1.0374479
1357,7,8.325963
1358,1,1.4634072
1359,0,1.055111
1360,0,1.7757301
1361,3,2.2136798
1362,0,3.5690808
1363,0,1.6929089
1364,2,3.4611883
1365,0,2.0721374
1366,2,0.806363
1367,0,1.1266668
1368,0,0.9987546
1369,0,3.862471
1370,0,1.40448
1371,4,2.388668
1372,0,1.298605
1373,2,1.6941552
1374,1,4.1773396
1375,0,1.5971844
1376,0,1.2876294
1377,0,1.374821
1378,2,2.0734916
